Warehouse,Part_No,Date,Demand,Material_Description
1110,ID377754,2024-11,1389.0,
1110,ID378974,2024-11,1100.0,
1110,IA202651,2024-12,882.0,
1110,IA203086,2024-12,680.0,
1110,IA203416,2024-12,2945.0,
1110,IA215142,2024-12,1637.0,
1110,IA215577,2024-12,1612.0,
1110,IA215578,2024-12,1537.0,
1110,IA301086,2024-12,1950.0,
1110,IA328687,2024-12,2000.0,
1110,IA329978,2024-12,810.0,
1110,IB002922,2024-12,7850.0,
1110,IB999850,2024-12,593.0,
1110,ID201024,2024-12,7298.0,
1110,ID206974,2024-12,1058.0,
1110,ID301958,2024-12,8554.0,
1110,ID304913,2024-12,2435.0,
1110,ID309786,2024-12,2792.0,
1110,ID332218,2024-12,1191.0,
1110,ID332219,2024-12,1206.0,
1110,ID334315,2024-12,2678.0,
1110,IE314595,2024-12,1050.0,
1110,IF000466,2024-12,1742.0,
1110,IM300205,2024-12,6700.0,
1110,MB344408,2024-12,1680.0,
1110,ME074696,2024-12,1496.0,
1110,MF434103,2024-12,1620.0,
1110,MF434104,2024-12,3420.0,
1110,MF434105,2024-12,2550.0,
1110,MF445086,2024-12,1190.0,
1110,MF472127,2024-12,2070.0,
1110,ID364170,2024-12,3349.0,
1110,ID370657,2024-12,2705.0,
1110,ID377754,2024-12,2463.0,
1110,ID378974,2024-12,865.0,
1110,IA202651,2025-01,1153.0,
1110,IA203086,2025-01,1610.0,
1110,IA203416,2025-01,1902.0,
1110,IA215142,2025-01,734.0,
1110,IA215577,2025-01,1644.0,
1110,IA215578,2025-01,1773.0,
1110,IA301086,2025-01,843.0,
1110,IA328687,2025-01,1890.0,
1110,IA329978,2025-01,1770.0,
1110,IB002922,2025-01,4678.0,
1110,IB999850,2025-01,1284.0,
1110,ID201024,2025-01,2658.0,
1110,ID206974,2025-01,1561.0,
1110,ID301958,2025-01,5760.0,
1110,ID304913,2025-01,1929.0,
1110,ID309786,2025-01,2380.0,
1110,ID332218,2025-01,2053.0,
1110,ID332219,2025-01,1413.0,
1110,ID334315,2025-01,3600.0,
1110,IE314595,2025-01,2460.0,
1110,IF000466,2025-01,1814.0,
1110,IM300205,2025-01,8440.0,
1110,MB344408,2025-01,1660.0,
1110,ME074696,2025-01,1816.0,
1110,MF434103,2025-01,2226.0,
